Representative_Sequence	total	A23.C0	CreativEruC00	CreativEruC02	CreativEruC03	CreativEruC06	CreativEruC08	CreativEruC10	CreativEruC12	CreativEruC14	CreativEruC16	CreativEruC19	CreativEruC21	CreativEruC23	CreativEruC25	CreativEruC27	CreativEruC29	CreativEruC31	CreativEru_A01	CreativEru_A07	CreativEru_A09	CreativEru_A10	CreativEru_A13	CreativEru_A18	CreativEru_Y04	CreativEru_Y07	CreativEru_Y10	CreativEru_Y13	CreativEru_Y16	CreativEru_Y19	CreativEru_Y23	Y27.CN2	
Mpick115	16	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick116	30	5	9	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Mpick117	1560	249	380	153	28	22	7	1	4	0	4	0	0	0	0	16	6	0	1	4	118	192	154	71	0	0	1	3	40	85	4	17
Mpick118	1847	37	46	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	263	801	453	222	0	0	5	0	1	6	1	0
Mpick119	6171	18	1	0	10	2	1	0	0	5	0	0	0	0	0	0	0	0	3	155	2147	2266	1477	54	0	0	2	7	8	13	2	0
Mpick120	23	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0
Mpick121	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	3	5	0	0	0	0	0	2	1	0
Mpick122	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	43	4	0	0	0	0	0	0	0	0
Mpick123	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	10	38	16	0	0	0	0	0	0	0	0
Mpick124	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick125	24	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick126	446	0	39	71	2	34	35	2	26	8	34	3	21	37	22	11	65	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick127	16	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick128	92	0	16	24	16	6	10	6	10	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick129	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick130	9	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick131	7	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick132	12	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick133	22	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick134	11	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick135	65	0	48	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick136	11	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick137	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick138	11	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick139	88	0	15	21	15	1	0	1	9	7	1	1	8	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick140	23	0	11	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick141	44	0	11	3	6	6	0	0	0	0	0	0	0	3	0	0	0	0	4	0	6	2	2	1	0	0	0	0	0	0	0	0
Mpick142	107	0	12	2	11	3	0	1	6	1	2	0	0	0	0	0	0	0	0	6	17	7	4	34	0	1	0	0	0	0	0	0
Mpick143	149	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	2	8	13	88	9	0	7	2	4	0
Mpick144	116	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	14	9	0	76	1	4	0	1	0	0	1	0
Mpick145	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick146	52	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick147	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick148	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick149	18	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick150	25	0	14	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick151	14	0	0	0	2	5	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0
Mpick152	40	0	37	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick153	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick154	35	0	31	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick155	5	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick156	41	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	10	0	6	0	0	3	0	0	0	0	0
Mpick157	43	0	36	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
Mpick158	36	0	26	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick159	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick160	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick161	19	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick162	56	0	48	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick163	152	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	104	0	0	0	0	0	2	2	2
Mpick164	91	61	9	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	3	2	0	0	0	0	0	0	5	4
Mpick165	35	0	11	5	0	0	0	1	0	2	0	0	0	0	0	0	0	0	8	0	5	0	0	2	0	0	0	0	0	0	1	0
Mpick166	166	48	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	11	4	35	0	0	1	1	7	22	12	10
Mpick167	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick168	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick169	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick170	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick171	38	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	7	9	0	0	2	1	0	0	0	0	0	0
Mpick172	13	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick173	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick174	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick175	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick176	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
